,fecha,estado,casos
214,2020-01-07,23,0
215,2020-01-07,24,0
216,2020-01-07,25,0
217,2020-01-07,26,0
218,2020-01-07,27,0
219,2020-01-07,28,0
220,2020-01-07,29,0
221,2020-01-07,30,0
222,2020-01-07,31,0
223,2020-01-07,32,0
224,2020-01-08,1,0
225,2020-01-08,2,0
226,2020-01-08,3,0
227,2020-01-08,4,0
228,2020-01-08,5,0
229,2020-01-08,6,0
230,2020-01-08,7,0
231,2020-01-08,8,0
232,2020-01-08,9,0
233,2020-01-08,10,0
234,2020-01-08,11,0
235,2020-01-08,12,0
236,2020-01-08,13,0
237,2020-01-08,14,0
238,2020-01-08,15,1
239,2020-01-08,16,0
240,2020-01-08,17,0
241,2020-01-08,18,0
242,2020-01-08,19,0
243,2020-01-08,20,0
244,2020-01-08,21,0
245,2020-01-08,22,0
246,2020-01-08,23,0
247,2020-01-08,24,0
248,2020-01-08,25,0
249,2020-01-08,26,0
250,2020-01-08,27,0
251,2020-01-08,28,0
252,2020-01-08,29,2
253,2020-01-08,30,0
254,2020-01-08,31,0
255,2020-01-08,32,0
256,2020-01-09,1,0
257,2020-01-09,2,0
258,2020-01-09,3,0
259,2020-01-09,4,0
260,2020-01-09,5,0
261,2020-01-09,6,0
262,2020-01-09,7,0
263,2020-01-09,8,0
264,2020-01-09,9,0
265,2020-01-09,10,0
266,2020-01-09,11,0
267,2020-01-09,12,0
268,2020-01-09,13,0
269,2020-01-09,14,0
270,2020-01-09,15,0
271,2020-01-09,16,0
272,2020-01-09,17,0
273,2020-01-09,18,0
274,2020-01-09,19,0
275,2020-01-09,20,0
276,2020-01-09,21,0
277,2020-01-09,22,0
278,2020-01-09,23,0
279,2020-01-09,24,0
280,2020-01-09,25,0
281,2020-01-09,26,0
282,2020-01-09,27,0
283,2020-01-09,28,0
284,2020-01-09,29,0
285,2020-01-09,30,0
286,2020-01-09,31,0
287,2020-01-09,32,0
288,2020-01-10,1,0
289,2020-01-10,2,0
290,2020-01-10,3,0
291,2020-01-10,4,0
292,2020-01-10,5,0
293,2020-01-10,6,0
294,2020-01-10,7,0
295,2020-01-10,8,0
296,2020-01-10,9,0
297,2020-01-10,10,0
298,2020-01-10,11,0
299,2020-01-10,12,0
